0.1	-nan
0.114976	-nan
0.132194	-nan
0.151991	-nan
0.174753	-nan
0.200923	-nan
0.231013	-nan
0.265609	-nan
0.305386	-nan
0.351119	-nan
0.403702	-nan
0.464159	-nan
0.53367	-nan
0.613591	-nan
0.70548	-nan
0.811131	-nan
0.932603	-nan
1.07227	-nan
1.23285	-nan
1.41747	-nan
1.62975	-nan
1.87382	-nan
2.15443	-nan
2.47708	-nan
2.84804	-nan
3.27455	-nan
3.76494	-nan
4.32876	-nan
4.97702	-nan
5.72237	-nan
6.57933	-nan
7.56463	-nan
8.69749	-nan
10	-nan
11.4976	-nan
13.2194	-nan
15.1991	-nan
17.4753	-nan
20.0923	-nan
23.1013	-nan
26.5609	-nan
30.5386	-nan
35.1119	-nan
40.3702	-nan
46.4159	-nan
53.367	-nan
61.3591	-nan
70.548	-nan
81.1131	-nan
93.2603	-nan
107.227	-nan
123.285	-nan
141.747	-nan
162.975	-nan
187.382	-nan
215.443	-nan
247.708	-nan
284.804	-nan
327.455	-nan
376.494	-nan
432.876	-nan
497.702	-nan
572.237	-nan
657.933	-nan
756.463	-nan
869.749	-nan
1000	-nan
1149.76	-nan
1321.94	-nan
1519.91	-nan
1747.53	-nan
2009.23	-nan
2310.13	-nan
2656.09	-nan
3053.86	-nan
3511.19	-nan
4037.02	-nan
4641.59	-nan
5336.7	-nan
6135.91	-nan
7054.8	-nan
8111.31	-nan
9326.03	-nan
10722.7	-nan
12328.5	-nan
14174.7	-nan
16297.5	-nan
18738.2	-nan
21544.3	-nan
24770.8	-nan
28480.4	-nan
32745.5	-nan
37649.4	-nan
43287.6	-nan
49770.2	-nan
57223.7	-nan
65793.3	-nan
75646.3	-nan
86974.9	-nan
100000	-nan
